season,ep_no,ep_title,ep_rating
12,8,Skinner's Sense of Snow,7.9
12,9,HOMR,8.1
12,10,Pokey Mom,7.1
12,11,Worst Episode Ever,7.4
12,12,Tennis the Menace,6.8
12,13,Day of the Jackanapes,7.1
12,14,New Kids on the Blecch,7.2
12,15,Hungry Hungry Homer,7.5
12,16,Bye Bye Nerdy,6.7
12,17,Simpson Safari,6.8
12,18,Trilogy of Error,8.6
12,19,I'm Goin' to Praiseland,7.2
12,20,Children of a Lesser Clod,7.2
12,21,Simpsons Tall Tales,6.9
13,1,Treehouse of Horror XII,7.6
13,2,The Parent Rap,7.1
13,3,Homer the Moe,7.1
13,4,A Hunka Hunka Burns in Love,7.1
13,5,The Blunder Years,7.6
13,6,She of Little Faith,7.1
13,7,Brawl in the Family,6.8
13,8,Sweets and Sour Marge,6.9
13,9,Jaws Wired Shut,7.3
13,10,Half-Decent Proposal,7.3
13,11,The Bart Wants What It Wants,7
13,12,The Lastest Gun in the West,6.5
13,13,The Old Man and the Key,6.5
13,14,Tales from the Public Domain,7.2
13,15,Blame It on Lisa,7
13,16,Weekend at Burnsie's,7.7
13,17,Gump Roast,5.4
13,18,I Am Furious Yellow,7.7
13,19,The Sweetest Apu,6.8
13,20,Little Girl in the Big Ten,7.1
13,21,The Frying Game,7
13,22,Papa's Got a Brand New Badge,7.8
14,1,Treehouse of Horror XIII,7.6
14,2,How I Spent My Strummer Vacation,7.4
14,3,Bart vs. Lisa vs. 3rd Grade,7.1
14,4,Large Marge,7.1
14,5,Helter Shelter,6.7
14,6,The Great Louse Detective,7.3
14,7,Special Edna,7
14,8,The Dad Who Knew Too Little,7.3
14,9,The Strong Arms of the Ma,6.8
14,10,Pray Anything,6.7
14,11,Barting Over,6.7
14,12,I'm Spelling as Fast as I Can,7.2
14,13,A Star Is Born Again,6.9
14,14,Mr. Spritz Goes to Washington,6.8
14,15,C.E.D'oh,7.1
14,16,'Scuse Me While I Miss the Sky,7.1
14,17,Three Gays of the Condo,7.2
14,18,"Dude, Where's My Ranch?",6.9
14,19,Old Yeller-Belly,6.6
14,20,"Brake My Wife, Please",6.7
14,21,The Bart of War,6.6
14,22,Moe Baby Blues,7.6
15,1,Treehouse of Horror XIV,7.5
15,2,My Mother the Carjacker,7.2
15,3,The President Wore Pearls,6.9
15,4,The Regina Monologues,7
15,5,The Fat and the Furriest,7.1
15,6,"Today, I Am a Clown",6.4
15,7,'Tis the Fifteenth Season,7
15,8,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",6.6
15,9,"I, (Annoyed Grunt)-Bot",7.3
15,10,Diatribe of a Mad Housewife,7.2
15,11,Margical History Tour,7.1
15,12,Milhouse Doesn't Live Here Anymore,7.2
15,13,Smart & Smarter,7.1
15,14,The Ziff Who Came to Dinner,6.7
15,15,Co-Dependent's Day,6.7
15,16,The Wandering Juvie,7
15,17,My Big Fat Geek Wedding,6.6
15,18,Catch 'Em If You Can,7.1
15,19,Simple Simpson,7.3
15,20,The Way We Weren't,7.2
15,21,Bart-Mangled Banner,6.3
15,22,Fraudcast News,7.2
16,1,Treehouse of Horror XV,7.4
16,2,All's Fair in Oven War,6.9
16,3,Sleeping with the Enemy,7.2
16,4,She Used to Be My Girl,6.5
16,5,Fat Man and Little Boy,7
16,6,Midnight Rx,7.1
16,7,Mommie Beerest,6.8
16,8,Homer and Ned's Hail Mary Pass,6.3
16,9,Pranksta Rap,6.6
16,10,There's Something About Marrying,6.9
16,11,On a Clear Day I Can't See My Sister,6.7
16,12,Goo Goo Gai Pan,7
16,13,Mobile Homer,6.8
16,14,The Seven-Beer Snitch,6.8
16,15,Future-Drama,7.3
16,16,Don't Fear the Roofer,7.5
16,17,The Heartbroke Kid,7.1
16,18,A Star Is Torn,6.7
16,19,Thank God It's Doomsday,7.2
